Datetime,Load
2022-01-27 00:27:04,733
2022-01-27 01:27:04,742
2022-01-27 02:27:04,636
2022-01-27 03:27:04,509
2022-01-27 04:27:04,461
2022-01-27 05:27:04,611
2022-01-27 06:27:04,493
2022-01-27 07:27:04,676
2022-01-27 08:27:04,671
2022-01-27 09:27:04,985
2022-01-27 10:27:04,791
2022-01-27 11:27:04,1076
2022-01-27 12:27:04,999
2022-01-27 13:27:04,1153
2022-01-27 14:27:04,1018
2022-01-27 15:27:04,1088
2022-01-27 16:27:04,960
2022-01-27 17:27:04,1328
2022-01-27 18:27:04,1570
2022-01-27 19:27:04,1461
2022-01-27 20:27:04,1285
2022-01-27 21:27:04,1433
2022-01-27 22:27:04,1289
2022-01-27 23:27:04,1092
2022-01-28 00:27:04,584
2022-01-28 01:27:04,506
2022-01-28 02:27:04,484
2022-01-28 03:27:04,385
2022-01-28 04:27:04,414
2022-01-28 05:27:04,447
2022-01-28 06:27:04,401
2022-01-28 07:27:04,531
2022-01-28 08:27:04,701
2022-01-28 09:27:04,854
2022-01-28 10:27:04,764
2022-01-28 11:27:04,955
2022-01-28 12:27:04,772
2022-01-28 13:27:04,931
2022-01-28 14:27:04,896
2022-01-28 15:27:04,853
2022-01-28 16:27:04,886
2022-01-28 17:27:04,980
2022-01-28 18:27:04,1363
2022-01-28 19:27:04,1252
2022-01-28 20:27:04,1239
2022-01-28 21:27:04,1017
2022-01-28 22:27:04,970
2022-01-28 23:27:04,893
2022-01-29 00:27:04,595
2022-01-29 01:27:04,560
2022-01-29 02:27:04,427
2022-01-29 03:27:04,545
2022-01-29 04:27:04,489
2022-01-29 05:27:04,429
2022-01-29 06:27:04,512
2022-01-29 07:27:04,591
2022-01-29 08:27:04,623
2022-01-29 09:27:04,679
2022-01-29 10:27:04,661
2022-01-29 11:27:04,717
2022-01-29 12:27:04,855
2022-01-29 13:27:04,750
2022-01-29 14:27:04,722
2022-01-29 15:27:04,698
2022-01-29 16:27:04,838
2022-01-29 17:27:04,1003
2022-01-29 18:27:04,1368
2022-01-29 19:27:04,1330
2022-01-29 20:27:04,1284
2022-01-29 21:27:04,998
2022-01-29 22:27:04,926
2022-01-29 23:27:04,941
2022-01-30 00:27:04,629
2022-01-30 01:27:04,507
2022-01-30 02:27:04,423
2022-01-30 03:27:04,488
2022-01-30 04:27:04,480
2022-01-30 05:27:04,466
2022-01-30 06:27:04,420
2022-01-30 07:27:04,524
2022-01-30 08:27:04,688
2022-01-30 09:27:04,887
2022-01-30 10:27:04,842
2022-01-30 11:27:04,757
2022-01-30 12:27:04,880
2022-01-30 13:27:04,855
2022-01-30 14:27:04,787
2022-01-30 15:27:04,894
2022-01-30 16:27:04,871
2022-01-30 17:27:04,1049
2022-01-30 18:27:04,1313
2022-01-30 19:27:04,1239
2022-01-30 20:27:04,1244
2022-01-30 21:27:04,989
2022-01-30 22:27:04,1093
2022-01-30 23:27:04,839
2022-01-31 00:27:04,526
2022-01-31 01:27:04,568
2022-01-31 02:27:04,568
2022-01-31 03:27:04,429
2022-01-31 04:27:04,397
2022-01-31 05:27:04,411
2022-01-31 06:27:04,474
2022-01-31 07:27:04,664
2022-01-31 08:27:04,659
2022-01-31 09:27:04,724
2022-01-31 10:27:04,890
2022-01-31 11:27:04,901
2022-01-31 12:27:04,755
2022-01-31 13:27:04,802
2022-01-31 14:27:04,759
2022-01-31 15:27:04,704
2022-01-31 16:27:04,732
2022-01-31 17:27:04,1045
2022-01-31 18:27:04,1317
2022-01-31 19:27:04,1286
2022-01-31 20:27:04,1096
2022-01-31 21:27:04,1199
2022-01-31 22:27:04,913
2022-01-31 23:27:04,882
2022-02-01 00:27:04,647
2022-02-01 01:27:04,552
2022-02-01 02:27:04,553
2022-02-01 03:27:04,459
2022-02-01 04:27:04,481
2022-02-01 05:27:04,494
2022-02-01 06:27:04,465
2022-02-01 07:27:04,653
2022-02-01 08:27:04,746
2022-02-01 09:27:04,629
2022-02-01 10:27:04,819
2022-02-01 11:27:04,856
2022-02-01 12:27:04,835
2022-02-01 13:27:04,937
2022-02-01 14:27:04,777
2022-02-01 15:27:04,817
2022-02-01 16:27:04,800
2022-02-01 17:27:04,986
2022-02-01 18:27:04,1291
2022-02-01 19:27:04,1197
2022-02-01 20:27:04,1299
2022-02-01 21:27:04,1063
2022-02-01 22:27:04,903
2022-02-01 23:27:04,710
2022-02-02 00:27:04,750
2022-02-02 01:27:04,769
2022-02-02 02:27:04,738
2022-02-02 03:27:04,691
2022-02-02 04:27:04,579
2022-02-02 05:27:04,625
2022-02-02 06:27:04,649
2022-02-02 07:27:04,871
2022-02-02 08:27:04,927
2022-02-02 09:27:04,1087
2022-02-02 10:27:04,910
2022-02-02 11:27:04,975
2022-02-02 12:27:04,1136
2022-02-02 13:27:04,1038
2022-02-02 14:27:04,1060
2022-02-02 15:27:04,978
2022-02-02 16:27:04,1187
2022-02-02 17:27:04,1354
2022-02-02 18:27:04,1794
2022-02-02 19:27:04,1574
2022-02-02 20:27:04,1664
2022-02-02 21:27:04,1265
2022-02-02 22:27:04,1152
2022-02-02 23:27:04,1168
2022-02-03 00:27:04,785
2022-02-03 01:27:04,755
2022-02-03 02:27:04,697
2022-02-03 03:27:04,556
2022-02-03 04:27:04,551
2022-02-03 05:27:04,576
2022-02-03 06:27:04,522
2022-02-03 07:27:04,754
2022-02-03 08:27:04,858
2022-02-03 09:27:04,823
2022-02-03 10:27:04,1107
2022-02-03 11:27:04,876
2022-02-03 12:27:04,1028
2022-02-03 13:27:04,1195
2022-02-03 14:27:04,1055
2022-02-03 15:27:04,948
2022-02-03 16:27:04,864
2022-02-03 17:27:04,1158
2022-02-03 18:27:04,1663
2022-02-03 19:27:04,1440
2022-02-03 20:27:04,1429
2022-02-03 21:27:04,1287
2022-02-03 22:27:04,1081
2022-02-03 23:27:04,1175
2022-02-04 00:27:04,577
2022-02-04 01:27:04,500
2022-02-04 02:27:04,521
2022-02-04 03:27:04,548
2022-02-04 04:27:04,460
2022-02-04 05:27:04,502
2022-02-04 06:27:04,451
2022-02-04 07:27:04,581
2022-02-04 08:27:04,554
2022-02-04 09:27:04,780
2022-02-04 10:27:04,660
