datetime,consumption,generation
2022-04-06 09:00:00.000,0.081,0.081
2022-04-06 08:30:00.000,0.037,0.037
2022-04-06 08:00:00.000,0.027,0.027
2022-04-06 07:30:00.000,0.031,0.031
2022-04-06 07:00:00.000,0.002,0.002
2022-04-06 06:30:00.000,0.0,0.0
2022-04-06 06:00:00.000,0.0,0.0
2022-04-06 05:30:00.000,0.0,0.0
2022-04-06 05:00:00.000,0.0,0.0
2022-04-06 04:30:00.000,0.0,0.0
2022-04-06 04:00:00.000,0.0,0.0
2022-04-06 03:30:00.000,0.0,0.0
2022-04-06 03:00:00.000,0.0,0.0
2022-04-06 02:30:00.000,0.0,0.0
2022-04-06 02:00:00.000,0.0,0.0
2022-04-06 01:30:00.000,0.0,0.0
2022-04-06 01:00:00.000,0.0,0.0
2022-04-06 00:30:00.000,0.0,0.0
2022-04-06 00:00:00.000,0.0,0.0
2022-04-05 23:30:00.000,0.0,0.0
2022-04-05 23:00:00.000,0.0,0.0
2022-04-05 22:30:00.000,0.0,0.0
2022-04-05 22:00:00.000,0.0,0.0
2022-04-05 21:30:00.000,0.0,0.0
2022-04-05 21:00:00.000,0.0,0.0
2022-04-05 20:30:00.000,0.0,0.0
2022-04-05 20:00:00.000,0.0,0.0
2022-04-05 19:30:00.000,0.0,0.0
2022-04-05 19:00:00.000,0.007,0.007
2022-04-05 18:30:00.000,0.065,0.065
2022-04-05 18:00:00.000,0.245,0.245
2022-04-05 17:30:00.000,0.563,0.563
2022-04-05 17:00:00.000,1.091,1.091
2022-04-05 16:30:00.000,1.474,1.474
2022-04-05 16:00:00.000,1.817,1.817
2022-04-05 15:30:00.000,2.18,2.18
2022-04-05 15:00:00.000,2.502,2.502
2022-04-05 14:30:00.000,2.711,2.711
2022-04-05 14:00:00.000,2.839,2.839
2022-04-05 13:30:00.000,2.98,2.98
2022-04-05 13:00:00.000,3.048,3.048
2022-04-05 12:30:00.000,3.036,3.036
2022-04-05 12:00:00.000,2.963,2.963
2022-04-05 11:30:00.000,2.816,2.816
2022-04-05 11:00:00.000,2.614,2.614
2022-04-05 10:30:00.000,2.353,2.353
2022-04-05 10:00:00.000,2.045,2.045
2022-04-05 09:30:00.000,1.632,1.632
2022-04-05 09:00:00.000,1.221,1.221
2022-04-05 08:30:00.000,0.506,0.506
2022-04-05 08:00:00.000,0.167,0.167
2022-04-05 07:30:00.000,0.043,0.043
2022-04-05 07:00:00.000,0.014,0.014
2022-04-05 06:30:00.000,0.0,0.0
2022-04-05 06:00:00.000,0.0,0.0
2022-04-05 05:30:00.000,0.0,0.0
2022-04-05 05:00:00.000,0.0,0.0
2022-04-05 04:30:00.000,0.0,0.0
2022-04-05 04:00:00.000,0.0,0.0
2022-04-05 03:30:00.000,0.0,0.0
2022-04-05 03:00:00.000,0.0,0.0
2022-04-05 02:30:00.000,0.0,0.0
2022-04-05 02:00:00.000,0.0,0.0
2022-04-05 01:30:00.000,0.0,0.0
2022-04-05 01:00:00.000,0.0,0.0
2022-04-05 00:30:00.000,0.0,0.0
2022-04-05 00:00:00.000,0.0,0.0
2022-04-04 23:30:00.000,0.0,0.0
2022-04-04 23:00:00.000,0.0,0.0
2022-04-04 22:30:00.000,0.0,0.0
2022-04-04 22:00:00.000,0.0,0.0
2022-04-04 21:30:00.000,0.0,0.0
2022-04-04 21:00:00.000,0.0,0.0
2022-04-04 20:30:00.000,0.0,0.0
2022-04-04 20:00:00.000,0.0,0.0
2022-04-04 19:30:00.000,0.0,0.0
2022-04-04 19:00:00.000,0.01,0.01
2022-04-04 18:30:00.000,0.089,0.089
2022-04-04 18:00:00.000,0.397,0.397
2022-04-04 17:30:00.000,0.795,0.795
2022-04-04 17:00:00.000,1.239,1.239
2022-04-04 16:30:00.000,1.659,1.659
2022-04-04 16:00:00.000,2.051,2.051
2022-04-04 15:30:00.000,2.387,2.387
2022-04-04 15:00:00.000,2.675,2.675
2022-04-04 14:30:00.000,2.884,2.884
2022-04-04 14:00:00.000,2.981,2.981
2022-04-04 13:30:00.000,3.131,3.131
2022-04-04 13:00:00.000,3.166,3.166
2022-04-04 12:30:00.000,3.137,3.137
2022-04-04 12:00:00.000,3.05,3.05
2022-04-04 11:30:00.000,2.896,2.896
2022-04-04 11:00:00.000,2.701,2.701
2022-04-04 10:30:00.000,2.429,2.429
2022-04-04 10:00:00.000,2.108,2.108
2022-04-04 09:30:00.000,1.738,1.738
2022-04-04 09:00:00.000,1.322,1.322
2022-04-04 08:30:00.000,0.655,0.655
2022-04-04 08:00:00.000,0.239,0.239
2022-04-04 07:30:00.000,0.053,0.053
2022-04-04 07:00:00.000,0.016,0.016
2022-04-04 06:30:00.000,0.0,0.0
2022-04-04 06:00:00.000,0.0,0.0
2022-04-04 05:30:00.000,0.0,0.0
2022-04-04 05:00:00.000,0.0,0.0
2022-04-04 04:30:00.000,0.0,0.0
2022-04-04 04:00:00.000,0.0,0.0
2022-04-04 03:30:00.000,0.0,0.0
2022-04-04 03:00:00.000,0.0,0.0
2022-04-04 02:30:00.000,0.0,0.0
2022-04-04 02:00:00.000,0.0,0.0
2022-04-04 01:30:00.000,0.0,0.0
2022-04-04 01:00:00.000,0.0,0.0
2022-04-04 00:30:00.000,0.0,0.0
2022-04-04 00:00:00.000,0.0,0.0
2022-04-03 23:30:00.000,0.0,0.0
2022-04-03 23:00:00.000,0.0,0.0
2022-04-03 22:30:00.000,0.0,0.0
2022-04-03 22:00:00.000,0.0,0.0
2022-04-03 21:30:00.000,0.0,0.0
2022-04-03 21:00:00.000,0.0,0.0
2022-04-03 20:30:00.000,0.0,0.0
2022-04-03 20:00:00.000,0.0,0.0
2022-04-03 19:30:00.000,0.0,0.0
2022-04-03 19:00:00.000,0.007,0.007
2022-04-03 18:30:00.000,0.093,0.093
2022-04-03 18:00:00.000,0.413,0.413
2022-04-03 17:30:00.000,0.826,0.826
2022-04-03 17:00:00.000,1.253,1.253
2022-04-03 16:30:00.000,1.446,1.446
2022-04-03 16:00:00.000,1.744,1.744
2022-04-03 15:30:00.000,2.042,2.042
2022-04-03 15:00:00.000,2.617,2.617
2022-04-03 14:30:00.000,2.824,2.824
2022-04-03 14:00:00.000,2.971,2.971
2022-04-03 13:30:00.000,3.063,3.063
2022-04-03 13:00:00.000,3.1,3.1
2022-04-03 12:30:00.000,3.087,3.087
2022-04-03 12:00:00.000,2.847,2.847
2022-04-03 11:30:00.000,2.418,2.418
2022-04-03 11:00:00.000,2.619,2.619
2022-04-03 10:30:00.000,2.359,2.359
2022-04-03 10:00:00.000,2.0,2.0
2022-04-03 09:30:00.000,1.621,1.621
2022-04-03 09:00:00.000,1.132,1.132
2022-04-03 08:30:00.000,0.517,0.517
2022-04-03 08:00:00.000,0.123,0.123
2022-04-03 07:30:00.000,0.033,0.033
2022-04-03 07:00:00.000,0.006,0.006
2022-04-03 06:30:00.000,0.0,0.0
2022-04-03 06:00:00.000,0.0,0.0
2022-04-03 05:30:00.000,0.0,0.0
2022-04-03 05:00:00.000,0.0,0.0
2022-04-03 04:30:00.000,0.0,0.0
2022-04-03 04:00:00.000,0.0,0.0
2022-04-03 03:30:00.000,0.0,0.0
2022-04-03 03:00:00.000,0.0,0.0
2022-04-03 02:30:00.000,0.0,0.0
2022-04-03 02:00:00.000,0.0,0.0
2022-04-03 01:30:00.000,0.0,0.0
2022-04-03 01:00:00.000,0.0,0.0
2022-04-03 00:30:00.000,0.0,0.0
2022-04-03 00:00:00.000,0.0,0.0
2022-04-02 23:30:00.000,0.0,0.0
2022-04-02 23:00:00.000,0.0,0.0
2022-04-02 22:30:00.000,0.0,0.0
2022-04-02 22:00:00.000,0.0,0.0
2022-04-02 21:30:00.000,0.0,0.0
2022-04-02 21:00:00.000,0.0,0.0
2022-04-02 20:30:00.000,0.0,0.0
2022-04-02 20:00:00.000,0.0,0.0
2022-04-02 19:30:00.000,0.0,0.0
2022-04-02 19:00:00.000,0.006,0.006
2022-04-02 18:30:00.000,0.086,0.086
2022-04-02 18:00:00.000,0.276,0.276
2022-04-02 17:30:00.000,0.602,0.602
2022-04-02 17:00:00.000,1.12,1.12
2022-04-02 16:30:00.000,1.479,1.479
2022-04-02 16:00:00.000,1.861,1.861
2022-04-02 15:30:00.000,2.218,2.218
2022-04-02 15:00:00.000,2.498,2.498
2022-04-02 14:30:00.000,2.696,2.696
2022-04-02 14:00:00.000,2.826,2.826
2022-04-02 13:30:00.000,2.915,2.915
2022-04-02 13:00:00.000,2.965,2.965
2022-04-02 12:30:00.000,2.912,2.912
2022-04-02 12:00:00.000,2.864,2.864
2022-04-02 11:30:00.000,2.705,2.705
2022-04-02 11:00:00.000,2.461,2.461
2022-04-02 10:30:00.000,2.182,2.182
2022-04-02 10:00:00.000,1.837,1.837
2022-04-02 09:30:00.000,0.86,0.86
2022-04-02 09:00:00.000,0.261,0.261
2022-04-02 08:30:00.000,0.07,0.07
2022-04-02 08:00:00.000,0.041,0.041
2022-04-02 07:30:00.000,0.023,0.023
2022-04-02 07:00:00.000,0.004,0.004
2022-04-02 06:30:00.000,0.0,0.0
2022-04-02 06:00:00.000,0.0,0.0
2022-04-02 05:30:00.000,0.0,0.0
2022-04-02 05:00:00.000,0.0,0.0
2022-04-02 04:30:00.000,0.0,0.0
2022-04-02 04:00:00.000,0.0,0.0
2022-04-02 03:30:00.000,0.0,0.0
2022-04-02 03:00:00.000,0.0,0.0
2022-04-02 02:30:00.000,0.0,0.0
2022-04-02 02:00:00.000,0.0,0.0
2022-04-02 01:30:00.000,0.0,0.0
2022-04-02 01:00:00.000,0.0,0.0
2022-04-02 00:30:00.000,0.0,0.0
2022-04-02 00:00:00.000,0.0,0.0
2022-04-01 23:30:00.000,0.0,0.0
2022-04-01 23:00:00.000,0.0,0.0
2022-04-01 22:30:00.000,0.0,0.0
2022-04-01 22:00:00.000,0.0,0.0
2022-04-01 21:30:00.000,0.0,0.0
2022-04-01 21:00:00.000,0.0,0.0
2022-04-01 20:30:00.000,0.0,0.0
2022-04-01 20:00:00.000,0.0,0.0
2022-04-01 19:30:00.000,0.0,0.0
2022-04-01 19:00:00.000,0.006,0.006
2022-04-01 18:30:00.000,0.077,0.077
2022-04-01 18:00:00.000,0.25,0.25
2022-04-01 17:30:00.000,0.523,0.523
2022-04-01 17:00:00.000,0.777,0.777
2022-04-01 16:30:00.000,0.952,0.952
2022-04-01 16:00:00.000,1.329,1.329
2022-04-01 15:30:00.000,1.803,1.803
2022-04-01 15:00:00.000,2.063,2.063
2022-04-01 14:30:00.000,2.086,2.086
2022-04-01 14:00:00.000,2.031,2.031
2022-04-01 13:30:00.000,2.404,2.404
2022-04-01 13:00:00.000,1.869,1.869
2022-04-01 12:30:00.000,2.194,2.194
2022-04-01 12:00:00.000,1.681,1.681
2022-04-01 11:30:00.000,0.945,0.945
2022-04-01 11:00:00.000,1.411,1.411
2022-04-01 10:30:00.000,1.788,1.788
2022-04-01 10:00:00.000,0.78,0.78
2022-04-01 09:30:00.000,0.608,0.608
2022-04-01 09:00:00.000,0.181,0.181
2022-04-01 08:30:00.000,0.097,0.097
2022-04-01 08:00:00.000,0.033,0.033
2022-04-01 07:30:00.000,0.014,0.014
2022-04-01 07:00:00.000,0.004,0.004
2022-04-01 06:30:00.000,0.0,0.0
2022-04-01 06:00:00.000,0.0,0.0
2022-04-01 05:30:00.000,0.0,0.0
2022-04-01 05:00:00.000,0.0,0.0
2022-04-01 04:30:00.000,0.0,0.0
2022-04-01 04:00:00.000,0.0,0.0
2022-04-01 03:30:00.000,0.0,0.0
2022-04-01 03:00:00.000,0.0,0.0
2022-04-01 02:30:00.000,0.0,0.0
2022-04-01 02:00:00.000,0.0,0.0
2022-04-01 01:30:00.000,0.0,0.0
2022-04-01 01:00:00.000,0.0,0.0
2022-04-01 00:30:00.000,0.0,0.0
2022-04-01 00:00:00.000,0.0,0.0
2022-03-31 23:00:00.000,0.0,0.0
2022-03-31 22:30:00.000,0.0,0.0
2022-03-31 22:00:00.000,0.0,0.0
2022-03-31 21:30:00.000,0.0,0.0
2022-03-31 21:00:00.000,0.0,0.0
2022-03-31 20:30:00.000,0.0,0.0
2022-03-31 20:00:00.000,0.0,0.0
2022-03-31 19:30:00.000,0.0,0.0
2022-03-31 19:00:00.000,0.002,0.002
2022-03-31 18:30:00.000,0.085,0.085
2022-03-31 18:00:00.000,0.271,0.271
2022-03-31 17:30:00.000,0.626,0.626
2022-03-31 17:00:00.000,1.197,1.197
2022-03-31 16:30:00.000,1.251,1.251
2022-03-31 16:00:00.000,1.425,1.425
2022-03-31 15:30:00.000,1.726,1.726
2022-03-31 15:00:00.000,2.062,2.062
2022-03-31 14:30:00.000,2.185,2.185
2022-03-31 14:00:00.000,2.368,2.368
2022-03-31 13:30:00.000,2.526,2.526
2022-03-31 13:00:00.000,2.549,2.549
2022-03-31 12:30:00.000,2.244,2.244
2022-03-31 12:00:00.000,1.618,1.618
2022-03-31 11:30:00.000,1.068,1.068
2022-03-31 11:00:00.000,0.53,0.53
2022-03-31 10:30:00.000,0.302,0.302
2022-03-31 10:00:00.000,0.177,0.177
2022-03-31 09:30:00.000,0.145,0.145
2022-03-31 09:00:00.000,0.068,0.068
2022-03-31 08:30:00.000,0.039,0.039
2022-03-31 08:00:00.000,0.014,0.014
2022-03-31 07:30:00.000,0.016,0.016
2022-03-31 07:00:00.000,0.004,0.004
2022-03-31 06:30:00.000,0.0,0.0
2022-03-31 06:00:00.000,0.0,0.0
2022-03-31 05:30:00.000,0.0,0.0
2022-03-31 05:00:00.000,0.0,0.0
2022-03-31 04:30:00.000,0.0,0.0
2022-03-31 04:00:00.000,0.0,0.0
2022-03-31 03:30:00.000,0.0,0.0
2022-03-31 03:00:00.000,0.0,0.0
2022-03-31 02:30:00.000,0.0,0.0
2022-03-31 02:00:00.000,0.0,0.0
2022-03-31 01:30:00.000,0.0,0.0
2022-03-31 01:00:00.000,0.0,0.0
2022-03-31 00:30:00.000,0.0,0.0
2022-03-31 00:00:00.000,0.0,0.0
2022-03-30 23:30:00.000,0.0,0.0
2022-03-30 23:00:00.000,0.0,0.0
2022-03-30 22:30:00.000,0.0,0.0
2022-03-30 22:00:00.000,0.0,0.0
2022-03-30 21:30:00.000,0.0,0.0
2022-03-30 21:00:00.000,0.0,0.0
2022-03-30 20:30:00.000,0.0,0.0
2022-03-30 20:00:00.000,0.0,0.0
2022-03-30 19:30:00.000,0.0,0.0
2022-03-30 19:00:00.000,0.006,0.006
2022-03-30 18:30:00.000,0.086,0.086
2022-03-30 18:00:00.000,0.327,0.327
2022-03-30 17:30:00.000,0.747,0.747
2022-03-30 17:00:00.000,1.164,1.164
2022-03-30 16:30:00.000,1.377,1.377
2022-03-30 16:00:00.000,1.932,1.932
2022-03-30 15:30:00.000,2.275,2.275
2022-03-30 15:00:00.000,2.538,2.538
2022-03-30 14:30:00.000,2.751,2.751
2022-03-30 14:00:00.000,2.889,2.889
2022-03-30 13:30:00.000,2.956,2.956
2022-03-30 13:00:00.000,3.015,3.015
2022-03-30 12:30:00.000,2.998,2.998
2022-03-30 12:00:00.000,2.911,2.911
2022-03-30 11:30:00.000,2.751,2.751
2022-03-30 11:00:00.000,2.537,2.537
2022-03-30 10:30:00.000,2.258,2.258
2022-03-30 10:00:00.000,1.93,1.93
