datetime,pv_estimate
2022-04-15 10:30:00.000Z,347.0
2022-04-15 10:00:00.000Z,420.0
2022-04-15 09:30:00.000Z,483.0
2022-04-15 09:00:00.000Z,523.0
2022-04-15 08:30:00.000Z,552.0
2022-04-15 08:00:00.000Z,595.0
2022-04-15 07:30:00.000Z,588.0
2022-04-15 07:00:00.000Z,550.0
2022-04-15 06:30:00.000Z,569.0
2022-04-15 06:00:00.000Z,591.0
2022-04-15 05:30:00.000Z,592.0
2022-04-15 05:00:00.000Z,511.0
2022-04-15 04:30:00.000Z,383.0
2022-04-15 04:00:00.000Z,437.0
2022-04-15 03:30:00.000Z,360.0
2022-04-15 02:30:00.000Z,73.0
2022-04-15 02:00:00.000Z,14.0
2022-04-15 01:30:00.000Z,10.0
2022-04-15 01:00:00.000Z,2.0
2022-04-15 00:30:00.000Z,0.0
2022-04-15 00:00:00.000Z,0.0
2022-04-14 23:30:00.000Z,0.0
2022-04-14 23:00:00.000Z,0.0
2022-04-14 22:30:00.000Z,0.0
2022-04-14 22:00:00.000Z,0.0
2022-04-14 21:30:00.000Z,0.0
2022-04-14 21:00:00.000Z,0.0
2022-04-14 20:30:00.000Z,0.0
2022-04-14 20:00:00.000Z,0.0
2022-04-14 19:30:00.000Z,0.0
2022-04-14 19:00:00.000Z,0.0
2022-04-14 18:30:00.000Z,0.0
2022-04-14 18:00:00.000Z,0.0
2022-04-14 17:30:00.000Z,0.0
2022-04-14 17:00:00.000Z,0.0
2022-04-14 16:30:00.000Z,0.0
2022-04-14 16:00:00.000Z,0.0
2022-04-14 15:30:00.000Z,0.0
2022-04-14 15:00:00.000Z,0.0
2022-04-14 14:30:00.000Z,0.0
2022-04-14 14:00:00.000Z,0.0
2022-04-14 13:30:00.000Z,0.0
2022-04-14 13:00:00.000Z,1.0
2022-04-14 12:30:00.000Z,43.0
2022-04-14 12:00:00.000Z,129.0
2022-04-14 11:30:00.000Z,220.0
2022-04-14 11:00:00.000Z,306.0
2022-04-14 10:30:00.000Z,389.0
2022-04-14 10:00:00.000Z,463.0
2022-04-14 09:30:00.000Z,524.0
2022-04-14 09:00:00.000Z,559.0
2022-04-14 08:30:00.000Z,580.0
2022-04-14 08:00:00.000Z,587.0
2022-04-14 07:30:00.000Z,560.0
2022-04-14 07:00:00.000Z,616.0
2022-04-14 06:30:00.000Z,616.0
2022-04-14 06:00:00.000Z,629.0
2022-04-14 05:30:00.000Z,620.0
2022-04-14 05:00:00.000Z,579.0
2022-04-14 04:30:00.000Z,526.0
2022-04-14 04:00:00.000Z,332.0
2022-04-14 03:30:00.000Z,254.0
2022-04-14 03:00:00.000Z,238.0
2022-04-14 02:30:00.000Z,111.0
2022-04-14 02:00:00.000Z,105.0
2022-04-14 01:30:00.000Z,17.0
2022-04-14 01:00:00.000Z,4.0
2022-04-14 00:30:00.000Z,0.0
2022-04-14 00:00:00.000Z,0.0
2022-04-13 23:30:00.000Z,0.0
2022-04-13 23:00:00.000Z,0.0
2022-04-13 22:30:00.000Z,0.0
2022-04-13 22:00:00.000Z,0.0
2022-04-13 21:30:00.000Z,0.0
2022-04-13 21:00:00.000Z,0.0
2022-04-13 20:30:00.000Z,0.0
2022-04-13 20:00:00.000Z,0.0
2022-04-13 19:30:00.000Z,0.0
2022-04-13 19:00:00.000Z,0.0
2022-04-13 18:30:00.000Z,0.0
2022-04-13 18:00:00.000Z,0.0
2022-04-13 17:30:00.000Z,0.0
2022-04-13 17:00:00.000Z,0.0
2022-04-13 16:30:00.000Z,0.0
2022-04-13 16:00:00.000Z,0.0
2022-04-13 15:30:00.000Z,0.0
2022-04-13 15:00:00.000Z,0.0
2022-04-13 14:30:00.000Z,0.0
2022-04-13 14:00:00.000Z,0.0
2022-04-13 13:30:00.000Z,0.0
2022-04-13 13:00:00.000Z,0.0
2022-04-13 12:30:00.000Z,19.0
2022-04-13 12:00:00.000Z,62.0
2022-04-13 11:30:00.000Z,41.0
2022-04-13 10:30:00.000Z,127.0
2022-04-13 10:00:00.000Z,162.0
