Datetime,Load
2022-04-07 10:40:49,1699
2022-04-07 11:40:49,1504
2022-04-07 12:40:49,1279
2022-04-07 13:40:49,1416
2022-04-07 14:40:49,1348
2022-04-07 15:40:49,1160
2022-04-07 16:40:49,1166
2022-04-07 17:40:49,1913
2022-04-07 18:40:49,1866
2022-04-07 19:40:49,1730
2022-04-07 20:40:49,2845
2022-04-07 21:40:49,2622
2022-04-07 22:40:49,2452
2022-04-07 23:40:49,2844
2022-04-08 00:40:49,2421
2022-04-08 01:40:49,2648
2022-04-08 02:40:49,2320
2022-04-08 03:40:49,2848
2022-04-08 04:40:49,3984
2022-04-08 05:40:49,3899
2022-04-08 06:40:49,3428
2022-04-08 07:40:49,3394
2022-04-08 08:40:49,3417
2022-04-08 09:40:49,2858
