Time (Hour),Load (W)
0,1612
1,1749
2,1464
3,1340
4,1348
5,1101
6,1215
7,1596
8,1879
9,2186
10,1937
11,2816
12,2662
13,2282
14,2601
15,2413
16,2330
17,3096
18,3908
19,3362
20,3599
21,3272
22,2646
23,2721
24,1181
25,1021
26,1208
27,834
28,1019
29,1021
30,825
31,1118
32,1365
33,1666
34,1580
35,2006
36,1652
37,1825
38,1469
39,1407
40,1496
41,2251
42,2838
43,2652
44,2381
45,2090
46,2079
47,1866
48,1306
49,1141
50,1029
51,928
52,999
53,778
54,844
55,1071
56,1580
57,1259
58,1477
59,1848
60,1856
61,1935
62,1523
63,1442
64,1941
65,1981
66,2831
67,2652
68,2709
69,2150
70,2189
71,1716
72,1226
73,1262
74,1095
75,1139
76,1110
77,1008
78,854
79,1377
80,1292
81,1282
82,1600
83,1973
84,2016
85,1940
86,1572
87,1737
88,1574
89,2306
90,2738
91,2666
92,2466
93,2000
94,2205
95,1724
96,1497
97,1065
98,1205
99,842
100,858
101,830
102,834
103,1302
104,1159
105,1625
106,1547
107,1868
108,1905
109,1958
110,1508
111,1821
112,1949
113,2195
114,2762
115,2765
116,2223
117,2410
118,1831
119,1756
120,1413
121,1024
122,964
123,965
124,1081
125,1027
126,968
127,1106
128,1298
129,1183
130,1477
131,1948
132,1936
133,1862
134,1782
135,1798
136,1621
137,2264
138,2854
139,2813
140,2179
141,2280
142,2186
143,1880
144,1767
145,1619
146,1689
147,1461
148,1621
149,1591
150,1411
151,1971
152,1732
153,2509
154,2324
155,3016
156,2601
157,2448
158,2568
159,2339
160,2192
161,3088
162,4195
163,4051
164,3787
165,3676
166,3030
167,2472
168,1747
169,1358
170,1179
171,1490
172,1440
173,1172
174,1371
175,1342
176,1479
177,2244
178,1852
179,2244
180,2621
181,2492
182,2420
183,1975
184,2440
185,2605
186,3546
187,3484
188,3578
189,3215
190,2960
191,2451
192,1164
193,1278
194,900
195,904
196,934
197,880
198,1002
199,1166
200,1302
201,1450
202,2017
203,1958
204,1870
205,2001
206,1695
207,1693
208,1543
209,2308
210,2718
211,2687
212,2523
213,2376
214,1784
215,1467
216,1493
217,1070
218,1052
219,1061
220,766
221,769
222,972
223,1151
224,1460
225,1646
226,1611
227,1794
228,2038
229,1583
230,1489
231,1659
232,1786
233,2286
234,2861
235,2513
236,2786
237,2339
238,2392
239,1408
240,1507
241,1214
242,916
243,1159
244,834
245,971
246,1029
247,1398
248,1212
249,1244
250,1830
251,2008
252,1799
253,1619
254,1680
255,1647
256,1753
257,2170
258,2837
259,2594
260,2389
261,2215
262,2026
263,1442
264,1229
265,1210
266,1188
267,885
268,1053
269,843
270,1055
271,1289
272,1389
273,1197
274,1840
275,1639
276,1832
277,1663
278,1701
279,1593
280,1811
281,2010
282,2839
283,2837
284,2445
285,2092
286,2079
287,1415
288,1345
289,1210
290,1008
291,908
292,993
293,796
294,884
295,1150
296,1499
297,1599
298,1540
299,1920
300,1896
301,1587
302,1795
303,1901
304,1815
305,2208
306,2712
307,2401
308,2782
309,2538
310,2191
311,1779
312,2157
313,1769
314,1441
315,1658
316,1603
317,1138
318,1308
319,1764
320,2152
321,1698
322,2276
323,2927
324,2453
325,2510
326,2208
327,2319
328,2520
329,2825
330,4128
331,3710
332,3577
333,3414
334,2692
335,2563
