Datetime,Load
2022-01-27 00:27:07,1257
2022-01-27 01:27:07,1359
2022-01-27 02:27:07,1363
2022-01-27 03:27:07,1085
2022-01-27 04:27:07,1164
2022-01-27 05:27:07,1170
2022-01-27 06:27:07,937
2022-01-27 07:27:07,1519
2022-01-27 08:27:07,1737
2022-01-27 09:27:07,1749
2022-01-27 10:27:07,1853
2022-01-27 11:27:07,1894
2022-01-27 12:27:07,2069
2022-01-27 13:27:07,2147
2022-01-27 14:27:07,2141
2022-01-27 15:27:07,1937
2022-01-27 16:27:07,1712
2022-01-27 17:27:07,2476
2022-01-27 18:27:07,3158
2022-01-27 19:27:07,3017
2022-01-27 20:27:07,2552
2022-01-27 21:27:07,2629
2022-01-27 22:27:07,2553
2022-01-27 23:27:07,1701
2022-01-28 00:27:07,1286
2022-01-28 01:27:07,1059
2022-01-28 02:27:07,852
2022-01-28 03:27:07,828
2022-01-28 04:27:07,943
2022-01-28 05:27:07,816
2022-01-28 06:27:07,824
2022-01-28 07:27:07,999
2022-01-28 08:27:07,1364
2022-01-28 09:27:07,1105
2022-01-28 10:27:07,1485
2022-01-28 11:27:07,1560
2022-01-28 12:27:07,1406
2022-01-28 13:27:07,1425
2022-01-28 14:27:07,1433
2022-01-28 15:27:07,1633
2022-01-28 16:27:07,1360
2022-01-28 17:27:07,1794
2022-01-28 18:27:07,2339
2022-01-28 19:27:07,2440
2022-01-28 20:27:07,1861
2022-01-28 21:27:07,1750
2022-01-28 22:27:07,1844
2022-01-28 23:27:07,1447
2022-01-29 00:27:07,1033
2022-01-29 01:27:07,1036
2022-01-29 02:27:07,778
2022-01-29 03:27:07,837
2022-01-29 04:27:07,852
2022-01-29 05:27:07,785
2022-01-29 06:27:07,904
2022-01-29 07:27:07,921
2022-01-29 08:27:07,1258
2022-01-29 09:27:07,1083
2022-01-29 10:27:07,1238
2022-01-29 11:27:07,1310
2022-01-29 12:27:07,1360
2022-01-29 13:27:07,1611
2022-01-29 14:27:07,1347
2022-01-29 15:27:07,1493
2022-01-29 16:27:07,1427
2022-01-29 17:27:07,1847
2022-01-29 18:27:07,2387
2022-01-29 19:27:07,2246
2022-01-29 20:27:07,2355
2022-01-29 21:27:07,2127
2022-01-29 22:27:07,2021
2022-01-29 23:27:07,1641
2022-01-30 00:27:07,1094
2022-01-30 01:27:07,887
2022-01-30 02:27:07,878
2022-01-30 03:27:07,924
2022-01-30 04:27:07,837
2022-01-30 05:27:07,722
2022-01-30 06:27:07,847
2022-01-30 07:27:07,1009
2022-01-30 08:27:07,1301
2022-01-30 09:27:07,1420
2022-01-30 10:27:07,1387
2022-01-30 11:27:07,1480
2022-01-30 12:27:07,1640
2022-01-30 13:27:07,1311
2022-01-30 14:27:07,1451
2022-01-30 15:27:07,1227
2022-01-30 16:27:07,1418
2022-01-30 17:27:07,1855
2022-01-30 18:27:07,2385
2022-01-30 19:27:07,2321
2022-01-30 20:27:07,2346
2022-01-30 21:27:07,2227
2022-01-30 22:27:07,2000
2022-01-30 23:27:07,1390
2022-01-31 00:27:07,1034
2022-01-31 01:27:07,1008
2022-01-31 02:27:07,895
2022-01-31 03:27:07,885
2022-01-31 04:27:07,802
2022-01-31 05:27:07,801
2022-01-31 06:27:07,822
2022-01-31 07:27:07,945
2022-01-31 08:27:07,1058
2022-01-31 09:27:07,1397
2022-01-31 10:27:07,1396
2022-01-31 11:27:07,1710
2022-01-31 12:27:07,1637
2022-01-31 13:27:07,1329
2022-01-31 14:27:07,1339
2022-01-31 15:27:07,1458
2022-01-31 16:27:07,1471
2022-01-31 17:27:07,1945
2022-01-31 18:27:07,2364
2022-01-31 19:27:07,2397
2022-01-31 20:27:07,2260
2022-01-31 21:27:07,2159
2022-01-31 22:27:07,1746
2022-01-31 23:27:07,1292
2022-02-01 00:27:07,1093
2022-02-01 01:27:07,991
2022-02-01 02:27:07,1011
2022-02-01 03:27:07,710
2022-02-01 04:27:07,740
2022-02-01 05:27:07,732
2022-02-01 06:27:07,753
2022-02-01 07:27:07,1058
2022-02-01 08:27:07,1114
2022-02-01 09:27:07,1349
2022-02-01 10:27:07,1320
2022-02-01 11:27:07,1548
2022-02-01 12:27:07,1693
2022-02-01 13:27:07,1441
2022-02-01 14:27:07,1532
2022-02-01 15:27:07,1627
2022-02-01 16:27:07,1651
2022-02-01 17:27:07,1997
2022-02-01 18:27:07,2463
2022-02-01 19:27:07,2064
2022-02-01 20:27:07,1910
2022-02-01 21:27:07,1715
2022-02-01 22:27:07,1823
2022-02-01 23:27:07,1694
2022-02-02 00:27:07,1599
2022-02-02 01:27:07,1217
2022-02-02 02:27:07,1301
2022-02-02 03:27:07,952
2022-02-02 04:27:07,992
2022-02-02 05:27:07,956
2022-02-02 06:27:07,1117
2022-02-02 07:27:07,1414
2022-02-02 08:27:07,1733
2022-02-02 09:27:07,1453
2022-02-02 10:27:07,1608
2022-02-02 11:27:07,1871
2022-02-02 12:27:07,2148
2022-02-02 13:27:07,1979
2022-02-02 14:27:07,1967
2022-02-02 15:27:07,1757
2022-02-02 16:27:07,2217
2022-02-02 17:27:07,2280
2022-02-02 18:27:07,3185
2022-02-02 19:27:07,2949
2022-02-02 20:27:07,2604
2022-02-02 21:27:07,2421
2022-02-02 22:27:07,2184
2022-02-02 23:27:07,2051
2022-02-03 00:27:07,1160
2022-02-03 01:27:07,1199
2022-02-03 02:27:07,1154
2022-02-03 03:27:07,916
2022-02-03 04:27:07,823
2022-02-03 05:27:07,949
2022-02-03 06:27:07,940
2022-02-03 07:27:07,1352
2022-02-03 08:27:07,1466
2022-02-03 09:27:07,1302
2022-02-03 10:27:07,1660
2022-02-03 11:27:07,1770
2022-02-03 12:27:07,2033
2022-02-03 13:27:07,1935
2022-02-03 14:27:07,1708
2022-02-03 15:27:07,1743
2022-02-03 16:27:07,1775
2022-02-03 17:27:07,2198
2022-02-03 18:27:07,2918
2022-02-03 19:27:07,2730
2022-02-03 20:27:07,2797
2022-02-03 21:27:07,2517
2022-02-03 22:27:07,2478
2022-02-03 23:27:07,1909
2022-02-04 00:27:07,1150
2022-02-04 01:27:07,892
2022-02-04 02:27:07,902
2022-02-04 03:27:07,947
2022-02-04 04:27:07,770
2022-02-04 05:27:07,741
2022-02-04 06:27:07,771
2022-02-04 07:27:07,922
2022-02-04 08:27:07,1034
2022-02-04 09:27:07,1611
2022-02-04 10:27:07,1348
2022-02-04 11:27:07,1732
2022-02-04 12:27:07,1761
2022-02-04 13:27:07,1705
